Date,Open,High,Low,Close,Adj Close,Volume
2021-03-02,16127.870117,16262.910156,15946.879883,15946.879883,15946.879883,6314300
2021-03-03,15992.320313,16211.730469,15884.549805,16211.730469,16211.730469,5473300
2021-03-04,16091.750000,16091.750000,15840.990234,15906.410156,15906.410156,5822900
2021-03-05,15759.580078,15934.429688,15636.429688,15855.230469,15855.230469,4705600
2021-03-08,15943.370117,16074.969727,15816.500000,15820.110352,15820.110352,4746800
2021-03-09,15715.070313,15864.259766,15657.919922,15853.089844,15853.089844,5441900
2021-03-10,15921.450195,15986.070313,15857.320313,15911.669922,15911.669922,4340600
2021-03-11,15947.209961,16216.219727,15947.209961,16179.559570,16179.559570,5113400
2021-03-12,16241.549805,16298.030273,16166.349609,16255.179688,16255.179688,4907000
2021-03-15,16256.580078,16281.910156,16194.910156,16249.330078,16249.330078,4681700
2021-03-16,16253.929688,16340.660156,16244.990234,16313.160156,16313.160156,5049000
2021-03-17,16312.980469,16349.209961,16166.349609,16215.820313,16215.820313,4911400
2021-03-18,16264.610352,16410.019531,16264.610352,16287.839844,16287.839844,5694800
2021-03-19,16186.459961,16186.459961,16022.169922,16070.240234,16070.240234,6753400
2021-03-22,16065.500000,16235.629883,15983.769531,16189.219727,16189.219727,7093200
2021-03-23,16250.200195,16351.379883,16166.290039,16177.589844,16177.589844,7291400
2021-03-24,15994.959961,16125.540039,15967.950195,16032.120117,16032.120117,5549900
2021-03-25,16010.540039,16146.580078,15944.959961,16060.139648,16060.139648,5947800
2021-03-26,16140.370117,16325.620117,16140.370117,16305.879883,16305.879883,5404200
2021-03-29,16411.669922,16520.890625,16411.669922,16475.970703,16475.970703,6897800
2021-03-30,16490.310547,16556.189453,16438.400391,16554.900391,16554.900391,5851100
2021-03-31,16529.230469,16550.199219,16427.199219,16431.130859,16431.130859,5865500
2021-04-01,16538.279297,16602.470703,16496.160156,16571.279297,16571.279297,5687600
2021-04-07,16771.349609,16816.339844,16715.320313,16815.359375,16815.359375,6682200
2021-04-08,16786.560547,16926.720703,16735.779297,16926.439453,16926.439453,7382600
2021-04-09,16974.279297,17016.130859,16815.589844,16854.099609,16854.099609,8624700
2021-04-12,16908.550781,16979.349609,16793.539063,16859.699219,16859.699219,9009000
2021-04-13,16872.400391,17041.369141,16802.220703,16824.910156,16824.910156,10350300
2021-04-14,16869.779297,16935.390625,16559.570313,16865.970703,16865.970703,10140000
2021-04-15,16851.060547,17076.730469,16851.060547,17076.730469,17076.730469,7006700
2021-04-16,17028.349609,17158.810547,16998.910156,17158.810547,17158.810547,7912900
2021-04-19,17141.250000,17294.150391,17135.519531,17263.279297,17263.279297,10158100
2021-04-20,17231.580078,17323.869141,17175.019531,17323.869141,17323.869141,9165400
2021-04-21,17282.759766,17282.759766,17167.390625,17202.109375,17202.109375,9427000
2021-04-22,17302.730469,17428.150391,17066.169922,17096.970703,17096.970703,14999500
2021-04-23,17117.490234,17300.269531,17055.480469,17300.269531,17300.269531,9329900
2021-04-26,17378.359375,17572.289063,17378.359375,17572.289063,17572.289063,9298000
2021-04-27,17586.019531,17630.189453,17489.710938,17595.900391,17595.900391,9687900
2021-04-28,17610.720703,17628.810547,17497.740234,17567.529297,17567.529297,10510700
2021-04-29,17646.929688,17709.230469,17548.300781,17566.660156,17566.660156,10991600
2021-05-03,17505.519531,17546.939453,17222.349609,17222.349609,17222.349609,11037100
2021-05-04,17249.560547,17328.550781,16647.609375,16933.779297,16933.779297,12968600
2021-05-05,16968.750000,17052.199219,16843.439453,16843.439453,16843.439453,8435500
2021-05-06,16925.519531,17088.730469,16764.710938,16994.359375,16994.359375,9028200
2021-05-07,17032.230469,17285.000000,17032.230469,17285.000000,17285.000000,8356000
2021-05-10,17274.230469,17304.470703,17188.150391,17235.609375,17235.609375,9059300
